message_id,action,message_type,reason,confidence,evidence_message_ids
msg_026,mute,scam,"Sender uses amazonpay-delivery.in instead of the brand's amazon.in, is unverified, and has 47 reports.",0.93,none
msg_047,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_046,mute,spam,"The user has reported every past message from this sender and opened none, so this sender is suppressed.",0.9,none
msg_042,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_079,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_098,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_037,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_007,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_085,mute,scam,"Sender uses hdfcbank-kyc.in instead of the brand's hdfc.bank.in, is unverified, and has 38 reports.",0.93,none
msg_001,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_021,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_028,mute,unknown,The user opted out of promotions from this brand on 2026-07-17 23:55.,0.88,none
msg_012,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_064,mute,spam,"The user has reported every past message from this sender and opened none, so this sender is suppressed.",0.9,none
msg_103,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_031,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_057,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_087,mute,unknown,The user has muted this conversation and the message carries no direct request.,0.85,none
msg_067,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_039,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_082,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_066,mute,unknown,The user opted out of promotions from this brand on 2026-07-17 23:55.,0.88,none
msg_049,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_015,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_051,mute,unknown,The user opted out of promotions from this brand on 2026-07-17 23:55.,0.88,none
msg_097,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_089,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_053,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_059,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_024,mute,unknown,The user opted out of promotions from this brand on 2026-07-17 23:55.,0.88,none
msg_072,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_036,mute,scam,"Sender uses razorpayx-payouts.com instead of the brand's razorpayx.com, is unverified, and has 20 reports.",0.93,none
msg_076,mute,scam,"Sender uses talabat-refund.com instead of the brand's talabat.com, is unverified, and has 61 reports.",0.93,none
msg_055,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_102,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_080,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_093,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_034,mute,unknown,The user has muted this conversation and the message carries no direct request.,0.85,none
msg_035,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_101,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_041,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_011,mute,unknown,The user has muted this conversation and the message carries no direct request.,0.85,none
msg_110,mute,spam,"The user has reported every past message from this sender and opened none, so this sender is suppressed.",0.9,none
msg_095,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_074,mute,unknown,The user has muted this conversation and the message carries no direct request.,0.85,none
msg_073,mute,spam,"The user has reported every past message from this sender and opened none, so this sender is suppressed.",0.9,none
msg_054,mute,spam,"The user has reported every past message from this sender and opened none, so this sender is suppressed.",0.9,none
msg_068,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_100,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_062,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_096,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_043,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_077,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_081,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_025,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_084,mute,unknown,The user opted out of promotions from this brand on 2026-07-17 23:55.,0.88,none
msg_022,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
